Week,6 Uhr:
2020-03-01,82
2020-03-08,61
2020-03-15,76
2020-03-22,38
2020-03-29,53
2020-04-05,33
2020-04-12,8
2020-04-19,23
2020-04-26,68
2020-05-03,69
2020-05-10,31
2020-05-17,48
2020-05-24,24
2020-05-31,23
2020-06-07,8
2020-06-14,15
2020-06-21,33
2020-06-28,48
2020-07-05,35
2020-07-12,46
2020-07-19,37
2020-07-26,27
2020-08-02,45
2020-08-09,25
2020-08-16,43
2020-08-23,17
2020-08-30,26
2020-09-06,44
2020-09-13,35
2020-09-20,87
2020-09-27,34
2020-10-04,52
2020-10-11,27
2020-10-18,36
2020-10-25,52
2020-11-01,32
2020-11-08,34
2020-11-15,43
2020-11-22,8
2020-11-29,25
2020-12-06,100
2020-12-13,25
2020-12-20,48
2020-12-27,45
2021-01-03,58
2021-01-10,16
2021-01-17,24
2021-01-24,40
2021-01-31,63
2021-02-07,17
2021-02-14,25
2021-02-21,59
2021-02-28,41
